batchSize,repeat,condition,secPerInference,throughputPerSec
1,2,pruned,0.00122059322592457,819.27375866151
1,2,baseline,0.00122716432691128,814.886790685123
1,3,pruned,0.00121873856559625,820.520518697763
1,3,baseline,0.00123296944273209,811.050108252591
1,4,baseline,0.00122665697638761,815.223831315015
1,4,pruned,0.00122404256425949,816.965054319801
1,5,baseline,0.00121862924079942,820.59412864901
1,5,pruned,0.00124305542573027,804.469357762163
8,1,baseline,0.000282952556303757,3534.16139109368
8,1,pruned,0.000283893702452595,3522.44516648615
8,2,pruned,0.000283572313428604,3526.43735881421
8,2,baseline,0.000286063586956522,3495.72628463191
8,3,pruned,0.000297160280221086,3365.18729641796
8,3,baseline,0.000287077061086233,3483.38524929938
8,4,pruned,0.000282240134624069,3543.08221023192
8,4,baseline,0.000283067588032156,3532.72519454401
8,5,pruned,0.000284375722247498,3516.47458544186
8,5,baseline,0.000282765550780366,3536.49869031159
32,1,baseline,0.000199562268518519,5010.96729067902
32,1,pruned,0.000180442765769342,5541.92347770977
32,2,pruned,0.00018166408293374,5504.665445424
32,2,baseline,0.00019956948335728,5010.78613411925
32,3,baseline,0.000198770003974563,5030.94018214123
32,3,pruned,0.000183377666654444,5453.22676552753
32,4,pruned,0.000181824670956952,5499.80371055783
32,4,baseline,0.000197896543605571,5053.14535453992
32,5,baseline,0.000198739852941176,5031.70343139975
32,5,pruned,0.00018206447622342,5492.55967305151
128,1,baseline,0.000177031277427803,5648.71933665971
128,1,pruned,0.000152383103374756,6562.40736573461
128,2,baseline,0.000176312992354848,5671.73176885001
128,2,pruned,0.000152296359496832,6566.14513507658
128,3,pruned,0.000151929264607629,6582.01040189717
128,3,baseline,0.000177742658913352,5626.11140237015
128,4,baseline,0.000178019956577449,5617.34773575761
128,4,pruned,0.000152591735076904,6553.43488620804
128,5,baseline,0.000176043009220158,5680.4300518938
128,5,pruned,0.000153182299828599,6528.16938457597
512,1,baseline,0.00016931326264881,5906.21186052155
512,1,pruned,0.000143005734631615,6992.72656845557
512,2,baseline,0.000167264984809028,5978.53759495291
512,2,pruned,0.000142585244639599,7013.34841853812
512,3,pruned,0.000143269095552885,6979.8723593594
512,3,baseline,0.000169139966348755,5912.26320772742
512,4,baseline,0.000168080720225322,5949.52234057209
512,4,pruned,0.000142143639914773,7035.13713733225
512,5,baseline,0.000169399715909091,5903.19762127969
512,5,pruned,0.000142684231010493,7008.48294810141
