block,orderPosition,condition,startTime,endTime,elapsedSec,batchSize,numBatches,numInferences,secPerInference,throughputPerSec,overrunRatio,stalled,measuredWatts,wattsSamples,wattsSD,energyJPerInference,tempMeanC,tempMaxC,clockMeanMHz,energyJPerInferenceNetIdle,dataset,theoreticalMACReduction,theoreticalParamReduction,accBaseline,accBaselineFt,accPruned
1,1,pruned,01-Aug-2026 21:32:13,01-Aug-2026 21:33:13,60.0055484,128,6657,852096,7.04211126445847e-05,14200.2868521405,1.00009247333333,0,24.7994666666667,30,5.03622046115272,0.00174640603565896,82.3333333333333,89,2753.3,0.00144915851918616,MIT-BIH,25.5090589822309,23.4231566479124,0.776508620689655,0.630818965517241,0.620474137931034
1,2,baseline,01-Aug-2026 21:33:35,01-Aug-2026 21:34:35,60.0073231,128,6183,791424,7.58219653434821e-05,13188.7902861643,1.00012205166667,0,23.9671333333333,30,5.11308941452421,0.00181723515298262,82.3666666666667,91,2730.65666666667,0.00149719063726778,MIT-BIH,25.5090589822309,23.4231566479124,0.776508620689655,0.630818965517241,0.620474137931034
1,3,baseline_ft,01-Aug-2026 21:34:58,01-Aug-2026 21:35:58,60.0050362,128,6244,799232,7.50783704856662e-05,13319.4153460072,1.00008393666667,0,24.2593666666667,30,5.21702067496272,0.00182135371834762,81.9333333333333,88,2640.54333333333,0.00150444791652762,MIT-BIH,25.5090589822309,23.4231566479124,0.776508620689655,0.630818965517241,0.620474137931034
2,1,pruned,01-Aug-2026 21:36:20,01-Aug-2026 21:37:20,60.0086311,128,6835,874880,6.85906994102048e-05,14579.2360859236,1.00014385166667,0,23.8952666666667,30,5.19120509518068,0.00163899305326002,81.4666666666667,88,2846.72666666667,0.00134947171104955,MIT-BIH,25.5090589822309,23.4231566479124,0.776508620689655,0.630818965517241,0.620474137931034
2,2,baseline_ft,01-Aug-2026 21:37:42,01-Aug-2026 21:38:42,60.0032866,128,6092,779776,7.69493887988345e-05,12995.5548134925,1.00005477666667,0,23.5866333333333,30,6.30279864758141,0.00181497701882222,79.5666666666667,84,2597,0.00149017364870234,MIT-BIH,25.5090589822309,23.4231566479124,0.776508620689655,0.630818965517241,0.620474137931034
2,3,baseline,01-Aug-2026 21:39:04,01-Aug-2026 21:40:04,60.0055645,128,6086,779008,7.70281749353023e-05,12982.2626699895,1.00009274166667,0,23.4518,30,6.11889841562104,0.00180644935294772,79.8,85,2655.83666666667,0.00148131342654581,MIT-BIH,25.5090589822309,23.4231566479124,0.776508620689655,0.630818965517241,0.620474137931034
3,1,baseline,01-Aug-2026 21:40:27,01-Aug-2026 21:41:27,60.0088649,128,5905,755840,7.93936083033446e-05,12595.4723732826,1.00014774833333,0,19.9877333333333,30,5.09444631307286,0.00158689827113837,75.1,85,2413.1,0.00125177785048995,MIT-BIH,25.5090589822309,23.4231566479124,0.776508620689655,0.630818965517241,0.620474137931034
3,2,baseline_ft,01-Aug-2026 21:41:50,01-Aug-2026 21:42:50,60.0045846,128,5757,736896,8.14288374478895e-05,12280.6616346445,1.00007641,0,16.8488333333333,30,3.11817931053422,0.00137198091068658,68.3,72,2051,0.00102826978781904,MIT-BIH,25.5090589822309,23.4231566479124,0.776508620689655,0.630818965517241,0.620474137931034
3,3,pruned,01-Aug-2026 21:43:12,01-Aug-2026 21:44:12,60.0013974,128,6160,788480,7.60975514914773e-05,13141.027278808,1.00002329,0,17.0127,30,3.6420474078037,0.00129462481425906,68.4333333333333,73,2118.81666666667,0.00097341704941353,MIT-BIH,25.5090589822309,23.4231566479124,0.776508620689655,0.630818965517241,0.620474137931034
4,1,baseline_ft,01-Aug-2026 21:44:34,01-Aug-2026 21:45:34,60.006927,128,6600,844800,7.10309268465909e-05,14078.3746516465,1.00011545,0,23.5762333333333,30,5.79607878556751,0.00167464170521816,77.8333333333333,86,2908.22,0.0013748201629987,MIT-BIH,25.5090589822309,23.4231566479124,0.776508620689655,0.630818965517241,0.620474137931034
