block,orderPosition,condition,startTime,endTime,elapsedSec,batchSize,numBatches,numInferences,secPerInference,throughputPerSec,overrunRatio,stalled,measuredWatts,wattsSamples,wattsSD,energyJPerInference,seed,theory
1,1,pruned,07-Aug-2026 18:18:42,07-Aug-2026 18:19:42,60.0050336,128,2991,382848,0.000156733308258108,6380.26473832355,1.00008389333333,0,NaN,NaN,NaN,NaN,2,24.4395896656535
1,2,baseline_ft,07-Aug-2026 18:20:08,07-Aug-2026 18:21:08,60.0197869,128,2538,324864,0.000184753579651793,5412.61501879808,1.00032978166667,0,NaN,NaN,NaN,NaN,2,24.4395896656535
2,1,pruned,07-Aug-2026 18:21:33,07-Aug-2026 18:22:33,60.0123666,128,3000,384000,0.0001562822046875,6398.6811678245,1.00020611,0,NaN,NaN,NaN,NaN,2,24.4395896656535
2,2,baseline_ft,07-Aug-2026 18:22:59,07-Aug-2026 18:23:59,60.0145144,128,2577,329856,0.000181941557528133,5496.27041554468,1.00024190666667,0,NaN,NaN,NaN,NaN,2,24.4395896656535
3,1,pruned,07-Aug-2026 18:24:23,07-Aug-2026 18:25:23,60.0020437,128,3007,384896,0.000155891575126787,6414.71483745478,1.00003406166667,0,NaN,NaN,NaN,NaN,2,24.4395896656535
3,2,baseline_ft,07-Aug-2026 18:25:49,07-Aug-2026 18:26:49,60.0196411,128,2586,331008,0.000181323838396655,5514.99465730727,1.00032735166667,0,NaN,NaN,NaN,NaN,2,24.4395896656535
1,1,baseline_ft,07-Aug-2026 18:35:46,07-Aug-2026 18:36:46,60.0068887,128,2594,332032,0.00018072622126783,5533.23138714906,1.00011481166667,0,NaN,NaN,NaN,NaN,3,22.2644376899696
1,2,pruned,07-Aug-2026 18:37:11,07-Aug-2026 18:38:11,60.0183566,128,2925,374400,0.000160305439636752,6238.09149749362,1.00030594333333,0,NaN,NaN,NaN,NaN,3,22.2644376899696
2,1,baseline_ft,07-Aug-2026 18:38:37,07-Aug-2026 18:39:37,60.0167367,128,2597,332416,0.000180547075652195,5538.721667951,1.000278945,0,NaN,NaN,NaN,NaN,3,22.2644376899696
2,2,pruned,07-Aug-2026 18:40:02,07-Aug-2026 18:41:02,60.0091881,128,2918,373504,0.000160665449633739,6224.11353704017,1.000153135,0,NaN,NaN,NaN,NaN,3,22.2644376899696
3,1,baseline_ft,07-Aug-2026 18:41:27,07-Aug-2026 18:42:27,60.020845,128,2607,333696,0.000179866839878213,5559.66847850942,1.00034741666667,0,NaN,NaN,NaN,NaN,3,22.2644376899696
3,2,pruned,07-Aug-2026 18:42:53,07-Aug-2026 18:43:53,60.0115813,128,2914,372992,0.000160892408684369,6215.33363927539,1.00019302166667,0,NaN,NaN,NaN,NaN,3,22.2644376899696
