block,orderPosition,condition,startTime,endTime,elapsedSec,batchSize,numBatches,numInferences,secPerInference,throughputPerSec,overrunRatio,stalled,measuredWatts,wattsSamples,wattsSD,energyJPerInference,seed,theory
1,1,baseline_ft,07-Aug-2026 21:40:29,07-Aug-2026 21:41:29,60.0039085,128,2138,273664,0.000219261241887862,4560.76957053556,1.00006514166667,0,NaN,NaN,NaN,NaN,1,24.4395896656535
1,2,pruned,07-Aug-2026 21:41:55,07-Aug-2026 21:42:55,60.006029,128,2757,352896,0.0001700388471391,5881.00905660663,1.00010048333333,0,NaN,NaN,NaN,NaN,1,24.4395896656535
2,1,baseline_ft,07-Aug-2026 21:43:21,07-Aug-2026 21:44:21,60.0235276,128,2363,302464,0.000198448501639865,5039.09070482555,1.00039212666667,0,NaN,NaN,NaN,NaN,1,24.4395896656535
2,2,pruned,07-Aug-2026 21:44:46,07-Aug-2026 21:45:46,60.0162386,128,2786,356608,0.000168297510431622,5941.85854226459,1.00027064333333,0,NaN,NaN,NaN,NaN,1,24.4395896656535
3,1,pruned,07-Aug-2026 21:46:12,07-Aug-2026 21:47:12,60.0039161,128,2770,354560,0.000169234871671931,5908.94766616741,1.00006526833333,0,NaN,NaN,NaN,NaN,1,24.4395896656535
3,2,baseline_ft,07-Aug-2026 21:47:38,07-Aug-2026 21:48:38,60.025158,128,2344,300032,0.000200062519997867,4998.43748849441,1.0004193,0,NaN,NaN,NaN,NaN,1,24.4395896656535
4,1,pruned,07-Aug-2026 21:52:02,07-Aug-2026 21:53:02,60.0153381,128,2748,351744,0.000170622208481168,5860.90174838155,1.000255635,0,NaN,NaN,NaN,NaN,1,24.4395896656535
4,2,baseline_ft,07-Aug-2026 21:53:29,07-Aug-2026 21:54:29,60.0170449,128,2393,306304,0.000195939474835458,5103.61682269365,1.00028408166667,0,NaN,NaN,NaN,NaN,1,24.4395896656535
5,1,baseline_ft,07-Aug-2026 21:54:55,07-Aug-2026 21:55:55,60.0001827,128,2362,302336,0.000198455303701842,5038.91798982805,1.000003045,0,NaN,NaN,NaN,NaN,1,24.4395896656535
5,2,pruned,07-Aug-2026 21:56:21,07-Aug-2026 21:57:21,60.0061065,128,2761,353408,0.000169792722575607,5889.53392601801,1.000101775,0,NaN,NaN,NaN,NaN,1,24.4395896656535
6,1,baseline_ft,07-Aug-2026 21:57:47,07-Aug-2026 21:58:47,60.0104386,128,2561,327808,0.000183065814745217,5462.51631628635,1.00017397666667,0,NaN,NaN,NaN,NaN,1,24.4395896656535
6,2,pruned,07-Aug-2026 21:59:12,07-Aug-2026 22:00:12,60.0038418,128,2938,376064,0.000159557526910313,6267.33203606306,1.00006403,0,NaN,NaN,NaN,NaN,1,24.4395896656535
