n,excl,m,sd,th,f,lat,accP,balP,accB,balB,dataset,mtp
3,0,1.9585093314847317,3.558421629926671,11.1322188449848,0.1759316232241575,2.105480932227991,98.69,98.6833891917433,98.54,98.54494985407321,MNIST,2
2,1,17.008368074404594,4.755104848706481,24.4395896656535,0.6959350916724895,37.89504931742607,98.52,98.5335018916887,98.54,98.54494985407321,MNIST,4
3,0,20.298777042923316,0.77322073406825,40.1120820668693,0.5060514437790592,20.268110788780874,97.3,97.3091866727705,98.54,98.54494985407321,MNIST,7
3,0,31.077302440789165,0.29461898065697867,57.0573708206687,0.5446676212695659,30.652948303630424,91.43,91.3699712414318,98.54,98.54494985407321,MNIST,10
3,0,8.30947397027313,0.3349805136810591,13.9912613981763,0.5939045618400235,8.431411994941689,88.64999999999999,88.64999999999999,89.92999999999999,89.92999999999999,Fashion-MNIST,2
3,0,13.24936643707965,0.6916185590409383,24.4395896656535,0.5421272050119491,13.134105195193825,88.55,88.55,89.92999999999999,89.92999999999999,Fashion-MNIST,4
3,0,22.070510151728758,2.9214667287029568,40.1120820668693,0.550221006103245,23.12161594806496,86.47,86.47,89.92999999999999,89.92999999999999,Fashion-MNIST,7
3,0,29.816016294094297,0.3908902491943174,56.25,0.5300625118950097,28.667726917756713,83.0,83.0,89.92999999999999,89.92999999999999,Fashion-MNIST,10
3,0,5.082598628581895,0.49938749888676054,11.7731882035538,0.4317096219567513,4.0530545522146655,70.90517241379311,49.083005939342996,77.6508620689655,79.2311928078623,MIT-BIH,2
3,0,12.591427897779534,1.2352334956277042,25.5090589822309,0.4936061305338809,10.724787747812222,62.0474137931034,44.8875486727672,77.6508620689655,79.2311928078623,MIT-BIH,4
3,0,22.68565719438604,0.524884978851526,44.9137710484696,0.5050935751955532,21.44019408389595,87.4353448275862,57.3365197160704,77.6508620689655,79.2311928078623,MIT-BIH,7
3,0,39.87637323514996,0.5069766585476047,60.1753651502465,0.6626694019319401,39.31726173171774,48.448275862069,58.168647320314406,77.6508620689655,79.2311928078623,MIT-BIH,10
2,1,5.649476377198212,0.10515047718234853,11.1153846153846,0.508257390336172,5.692786347059304,52.264808362369294,54.7096108490566,61.3240418118467,60.9055621069182,ChestX-ray14,2
3,0,9.115485223989259,0.565343263345788,22.2307692307692,0.41003912772270074,8.78686612607371,55.05226480836241,56.844536163521994,61.3240418118467,60.9055621069182,ChestX-ray14,4
3,0,14.787849986795914,0.7818110584939711,38.9038461538462,0.3801128024287625,14.204739118428824,54.355400696864095,57.1295204402516,61.3240418118467,60.9055621069182,ChestX-ray14,7
3,0,19.54675343767579,0.2256017191636191,55.5769230769231,0.3517062902280763,18.99601719893509,50.5226480836237,54.4319968553459,61.3240418118467,60.9055621069182,ChestX-ray14,10
