batchSize,repeat,condition,batches,inferences,elapsedSec,secPerInference
1,1,baseline_ft,8542,8542,10.000752,0.00117077405759775
1,1,pruned,10580,10580,10.0003279,0.000945210576559546
1,2,baseline_ft,16091,16091,10.0004752,0.000621494947486172
1,2,pruned,16566,16566,10.0001742,0.000603656537486418
1,3,baseline_ft,16261,16261,10.000431,0.000614994834266035
1,3,pruned,16528,16528,10.0002914,0.000605051512584705
1,4,baseline_ft,16310,16310,10.0001473,0.000613129816063765
1,4,pruned,16587,16587,10.0001896,0.000602893205522397
1,5,baseline_ft,16402,16402,10.0002168,0.000609694964028777
1,5,pruned,16728,16728,10.0003627,0.000597821777857484
1,6,baseline_ft,16370,16370,10.0000679,0.00061087769700672
1,6,pruned,16647,16647,10.0000513,0.000600711918063315
1,7,baseline_ft,16377,16377,10.0004591,0.000610640477498931
1,7,pruned,16650,16650,10.0000928,0.000600606174174174
8,1,baseline_ft,8329,66632,10.0000784,0.00015007921719294
8,1,pruned,8150,65200,10.0000465,0.000153374946319018
8,2,baseline_ft,8313,66504,10.0002819,0.000150371134067124
8,2,pruned,8169,65352,10.0012063,0.000153035963704248
8,3,baseline_ft,8317,66536,10.0003913,0.000150300458398461
8,3,pruned,8143,65144,10.0007567,0.000153517694645708
8,4,baseline_ft,8323,66584,10.0011272,0.000150203159918299
8,4,pruned,8113,64904,10.0007043,0.000154084560273635
8,5,baseline_ft,8330,66640,10.0000867,0.000150061325030012
8,5,pruned,8165,65320,10.0004495,0.000153099349357012
8,6,baseline_ft,8328,66624,10.0003572,0.000150101422910663
8,6,pruned,7936,63488,10.0010541,0.000157526683782762
8,7,baseline_ft,8286,66288,10.0005052,0.000150864488293507
8,7,pruned,8110,64880,10.0002191,0.000154134079839704
32,1,baseline_ft,5254,168128,10.001247,5.94859095451085e-05
32,1,pruned,5410,173120,10.0016173,5.77727431839187e-05
32,2,baseline_ft,5231,167392,10.0015419,5.97492227824508e-05
32,2,pruned,5402,172864,10.0014461,5.78573103711588e-05
32,3,baseline_ft,5279,168928,10.0017628,5.92072527940898e-05
32,3,pruned,5349,171168,10.0006036,5.8425661338568e-05
32,4,baseline_ft,5276,168832,10.0014168,5.92388694086429e-05
32,4,pruned,5401,172832,10.0006155,5.78632168811331e-05
32,5,baseline_ft,5246,167872,10.0028552,5.95862037743042e-05
32,5,pruned,5381,172192,10.0005287,5.80777777132503e-05
32,6,baseline_ft,5278,168896,10.000161,5.92089865953013e-05
32,6,pruned,5383,172256,10.0016088,5.80624698123723e-05
32,7,baseline_ft,5277,168864,10.0003156,5.92211223232897e-05
32,7,pruned,5398,172736,10.0017189,5.79017628056688e-05
128,1,baseline_ft,1817,232576,10.0003873,4.29983631157127e-05
128,1,pruned,2032,260096,10.0018677,3.84545233298474e-05
128,2,baseline_ft,1812,231936,10.0017441,4.31228619101821e-05
128,2,pruned,2033,260224,10.0000323,3.84285550141417e-05
128,3,baseline_ft,1807,231296,10.0037236,4.32507419064748e-05
128,3,pruned,2041,261248,10.0017894,3.82846544279765e-05
128,4,baseline_ft,1822,233216,10.003309,4.28928932834797e-05
128,4,pruned,2051,262528,10.0021202,3.80992511274988e-05
128,5,baseline_ft,1811,231808,10.0043772,4.31580325096632e-05
128,5,pruned,2036,260608,10.0006776,3.83744075392927e-05
128,6,baseline_ft,1797,230016,10.0028055,4.34874334828881e-05
128,6,pruned,2044,261632,10.004148,3.82374785958904e-05
128,7,baseline_ft,1804,230912,10.00415,4.33245132344789e-05
128,7,pruned,2028,259584,10.0011727,3.85276931552022e-05
512,1,baseline_ft,381,195072,10.0133514,5.13315668061024e-05
512,1,pruned,445,227840,10.011205,4.39396286867978e-05
512,2,baseline_ft,382,195584,10.0192376,5.12272864856021e-05
512,2,pruned,444,227328,10.0002648,4.39904666385135e-05
512,3,baseline_ft,381,195072,10.0239525,5.13859113558071e-05
512,3,pruned,444,227328,10.0137138,4.40496278505068e-05
512,4,baseline_ft,378,193536,10.0041101,5.16912104208003e-05
512,4,pruned,445,227840,10.0196804,4.39768275983146e-05
512,5,baseline_ft,383,196096,10.0257106,5.11265431217363e-05
512,5,pruned,444,227328,10.0195871,4.4075464087134e-05
512,6,baseline_ft,380,194560,10.0121917,5.14606892475329e-05
512,6,pruned,445,227840,10.0178784,4.39689185393258e-05
512,7,baseline_ft,381,195072,10.0129604,5.1329562417979e-05
512,7,pruned,443,226816,10.0054443,4.41126036082111e-05
