block,orderPosition,condition,startTime,endTime,elapsedSec,batchSize,numBatches,numInferences,secPerInference,throughputPerSec,overrunRatio,stalled,measuredWatts,wattsSamples,wattsSD,energyJPerInference,tempMeanC,tempMaxC,clockMeanMHz,energyJPerInferenceNetIdle,dataset,theoreticalMACReduction,theoreticalParamReduction,macsBaseline,macsPruned,paramsBaseline,paramsPruned,accBaseline,accBaselineFt,accPruned,balBaseline,balBaselineFt,balPruned,majorityClassRate,batchSizeOpt,idleWattsOpt,seedOpt
1,1,pruned,14-Aug-2026 10:57:45,14-Aug-2026 10:58:45,60.0115729,128,1342,171776,0.000349359473383942,2862.38123247058,1.00019288166667,0,10.4168333333333,30,0.954653325173263,0.00363921940766163,60.3,65,2068.28,0.00216457307050801,Fashion-MNIST,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.8993,0.8914,0.8855,0.8993,0.8914,0.8855,0.1,128,4.221,1
1,2,baseline,14-Aug-2026 10:59:15,14-Aug-2026 11:00:15,60.0256529,128,1167,149376,0.000401842684902528,2488.53603056769,1.00042754833333,0,9.5963,30,0.541584784969394,0.00385620295713013,56.5666666666667,60,1884.71333333333,0.00216002498415656,Fashion-MNIST,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.8993,0.8914,0.8855,0.8993,0.8914,0.8855,0.1,128,4.221,1
1,3,baseline_ft,14-Aug-2026 11:00:45,14-Aug-2026 11:01:45,60.0387781,128,1173,150144,0.000399874641011296,2500.78373930132,1.00064630166667,0,9.5656,30,0.562298460446665,0.00382504086605765,57.2333333333333,63,1960.52,0.00213717000634897,Fashion-MNIST,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.8993,0.8914,0.8855,0.8993,0.8914,0.8855,0.1,128,4.221,1
2,1,pruned,14-Aug-2026 11:02:14,14-Aug-2026 11:03:14,60.0290502,128,1301,166528,0.000360474215747502,2774.12351928234,1.00048417,0,9.59953333333333,30,0.701349818433064,0.00346038424987534,55.4333333333333,60,1986.46666666667,0.00193882258520513,Fashion-MNIST,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.8993,0.8914,0.8855,0.8993,0.8914,0.8855,0.1,128,4.221,1
2,2,baseline_ft,14-Aug-2026 11:03:44,14-Aug-2026 11:04:44,60.0179118,128,1171,149888,0.000400418391065329,2497.38778815693,1.00029853,0,9.54363333333333,30,0.501132612591017,0.00382144630425077,57.9333333333333,65,2012.72666666667,0.00213128027556402,Fashion-MNIST,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.8993,0.8914,0.8855,0.8993,0.8914,0.8855,0.1,128,4.221,1
2,3,baseline,14-Aug-2026 11:05:14,14-Aug-2026 11:06:14,60.0080395,128,1168,149504,0.000401380829275471,2491.39950656112,1.00013399166667,0,9.56623333333333,30,0.44303278335405,0.00383970266837599,58.9666666666667,64,1963.85666666667,0.00214547418800422,Fashion-MNIST,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.8993,0.8914,0.8855,0.8993,0.8914,0.8855,0.1,128,4.221,1
3,1,baseline,14-Aug-2026 11:06:44,14-Aug-2026 11:07:44,60.0178796,128,1175,150400,0.000399055050531915,2505.91991923687,1.00029799333333,0,9.5308,30,0.466968093128428,0.00380331387560957,58.9666666666667,66,2035.33333333333,0.00211890250731436,Fashion-MNIST,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.8993,0.8914,0.8855,0.8993,0.8914,0.8855,0.1,128,4.221,1
3,2,baseline_ft,14-Aug-2026 11:08:14,14-Aug-2026 11:09:14,60.014335,128,1173,150144,0.000399711843297101,2501.80227773914,1.00023891666667,0,9.61846666666667,30,0.528524995874715,0.00384461504102506,55.3666666666667,59,1974.51666666667,0.002157431350468,Fashion-MNIST,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.8993,0.8914,0.8855,0.8993,0.8914,0.8855,0.1,128,4.221,1
3,3,pruned,14-Aug-2026 11:09:43,14-Aug-2026 11:10:43,60.0346335,128,1331,170368,0.000352382099337904,2837.82860105242,1.000577225,0,9.3722,30,0.457486641975705,0.0033025955114147,55,64,2001.46333333333,0.00181519067010941,Fashion-MNIST,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.8993,0.8914,0.8855,0.8993,0.8914,0.8855,0.1,128,4.221,1
4,1,baseline_ft,14-Aug-2026 11:11:14,14-Aug-2026 11:12:14,60.0431332,128,1178,150784,0.000398206263264007,2511.2613543625,1.00071888666667,0,9.36666666666667,30,0.406757178546182,0.00372986533257286,54.4,57,1912.64,0.00204903669533549,Fashion-MNIST,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.8993,0.8914,0.8855,0.8993,0.8914,0.8855,0.1,128,4.221,1
4,2,baseline,14-Aug-2026 11:12:44,14-Aug-2026 11:13:44,60.0154223,128,1174,150272,0.000399378608789395,2503.88973768831,1.00025703833333,0,9.68736666666667,30,0.634246524643997,0.00386892702216609,55.5666666666667,66,1875.08666666667,0.00218314991446606,Fashion-MNIST,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.8993,0.8914,0.8855,0.8993,0.8914,0.8855,0.1,128,4.221,1
4,3,pruned,14-Aug-2026 11:14:13,14-Aug-2026 11:15:13,60.0447987,128,1323,169344,0.000354572932610544,2820.29424140613,1.000746645,0,9.35173333333333,30,0.487892154090418,0.00331587151299178,55.0666666666667,60,2026.06666666667,0.00181921916444267,Fashion-MNIST,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.8993,0.8914,0.8855,0.8993,0.8914,0.8855,0.1,128,4.221,1
5,1,pruned,14-Aug-2026 11:15:42,14-Aug-2026 11:16:42,60.0283143,128,1316,168448,0.000356361098380509,2806.14243402134,1.000471905,0,10.1392333333333,30,1.31140884188521,0.00361322832740294,55.6,61,1981.81,0.00210902813113881,Fashion-MNIST,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.8993,0.8914,0.8855,0.8993,0.8914,0.8855,0.1,128,4.221,1
