block,orderPosition,condition,startTime,endTime,elapsedSec,batchSize,numBatches,numInferences,secPerInference,throughputPerSec,overrunRatio,stalled,measuredWatts,wattsSamples,wattsSD,energyJPerInference,tempMeanC,tempMaxC,clockMeanMHz,energyJPerInferenceNetIdle,dataset,theoreticalMACReduction,theoreticalParamReduction,macsBaseline,macsPruned,paramsBaseline,paramsPruned,accBaseline,accBaselineFt,accPruned,balBaseline,balBaselineFt,balPruned,majorityClassRate,batchSizeOpt,idleWattsOpt,seedOpt
1,1,pruned,14-Aug-2026 11:29:39,14-Aug-2026 11:30:39,60.0056761,128,8309,1063552,5.64200679421411e-05,17724.1899287591,1.00009460166667,0,23.7446,30,5.79567341956109,0.00133967194525896,71.4,82,2458.31,0.00110152283847518,MIT-BIH,25.5090589822309,23.4231566479124,343968,256225,6754,5172,0.776508620689655,0.630818965517241,0.620474137931034,0.792311928078623,0.629652819835276,0.448875486727672,0.878879310344828,128,4.221,1
1,2,baseline,14-Aug-2026 11:31:01,14-Aug-2026 11:32:01,60.0123116,128,6106,781568,7.67845044832951e-05,13023.461005958,1.00020519333333,0,20.2302,30,6.82274654676394,0.00155336588259796,68.4333333333333,76,2361.59,0.00122925848917397,MIT-BIH,25.5090589822309,23.4231566479124,343968,256225,6754,5172,0.776508620689655,0.630818965517241,0.620474137931034,0.792311928078623,0.629652819835276,0.448875486727672,0.878879310344828,128,4.221,1
1,3,baseline_ft,14-Aug-2026 11:32:25,14-Aug-2026 11:33:25,60.0051777,128,3131,400768,0.000149725471345018,6678.89031182721,1.000086295,0,9.42996666666667,30,1.18862004843441,0.00141190620393447,55.7666666666667,61,1923.65666666667,0.000779914989387152,MIT-BIH,25.5090589822309,23.4231566479124,343968,256225,6754,5172,0.776508620689655,0.630818965517241,0.620474137931034,0.792311928078623,0.629652819835276,0.448875486727672,0.878879310344828,128,4.221,1
2,1,pruned,14-Aug-2026 11:33:48,14-Aug-2026 11:34:48,60.0152334,128,3105,397440,0.000151004512379227,6622.31865951554,1.00025389,0,14.1064666666667,30,5.36921469717572,0.00213014012039382,61,77,2183.33,0.0014927500736411,MIT-BIH,25.5090589822309,23.4231566479124,343968,256225,6754,5172,0.776508620689655,0.630818965517241,0.620474137931034,0.792311928078623,0.629652819835276,0.448875486727672,0.878879310344828,128,4.221,1
2,2,baseline_ft,14-Aug-2026 11:35:13,14-Aug-2026 11:36:13,60.0027213,128,2696,345088,0.000173876580176651,5751.20582072667,1.000045355,0,11.6733333333333,30,1.4226450676489,0.0020297192792621,60.7333333333333,64,2036.37666666667,0.00129578623433646,MIT-BIH,25.5090589822309,23.4231566479124,343968,256225,6754,5172,0.776508620689655,0.630818965517241,0.620474137931034,0.792311928078623,0.629652819835276,0.448875486727672,0.878879310344828,128,4.221,1
2,3,baseline,14-Aug-2026 11:36:36,14-Aug-2026 11:37:36,60.0066677,128,7848,1004544,5.97352308111939e-05,16740.5396517294,1.00011112833333,0,25.5200333333333,30,5.22227045010338,0.00152444508147603,74.2333333333333,81,2224.58333333333,0.00127230267222198,MIT-BIH,25.5090589822309,23.4231566479124,343968,256225,6754,5172,0.776508620689655,0.630818965517241,0.620474137931034,0.792311928078623,0.629652819835276,0.448875486727672,0.878879310344828,128,4.221,1
3,1,baseline,14-Aug-2026 11:37:58,14-Aug-2026 11:38:58,60.0047971,128,7804,998912,6.00701534269285e-05,16647.2023617592,1.00007995166667,0,24.7585333333333,30,5.94530019968444,0.00148724889595906,73.7333333333333,81,2178.34333333333,0.00123369277834399,MIT-BIH,25.5090589822309,23.4231566479124,343968,256225,6754,5172,0.776508620689655,0.630818965517241,0.620474137931034,0.792311928078623,0.629652819835276,0.448875486727672,0.878879310344828,128,4.221,1
3,2,baseline_ft,14-Aug-2026 11:39:20,14-Aug-2026 11:40:20,60.0010092,128,7922,1014016,5.9171659224312e-05,16899.9824089625,1.00001682,0,25.6279333333333,30,5.11269053221109,0.00151644733782339,75.5666666666667,82,2167.02666666667,0.00126668376423757,MIT-BIH,25.5090589822309,23.4231566479124,343968,256225,6754,5172,0.776508620689655,0.630818965517241,0.620474137931034,0.792311928078623,0.629652819835276,0.448875486727672,0.878879310344828,128,4.221,1
3,3,pruned,14-Aug-2026 11:40:42,14-Aug-2026 11:41:42,60.0008979,128,9008,1153024,5.20378568876277e-05,19216.7790875676,1.000014965,0,24.3401,30,6.9935271124386,0.00126660664043055,74.5666666666667,82,2095.88333333333,0.00104695484650787,MIT-BIH,25.5090589822309,23.4231566479124,343968,256225,6754,5172,0.776508620689655,0.630818965517241,0.620474137931034,0.792311928078623,0.629652819835276,0.448875486727672,0.878879310344828,128,4.221,1
4,1,baseline_ft,14-Aug-2026 11:42:04,14-Aug-2026 11:43:04,60.0021689,128,7847,1004416,5.97383642833248e-05,16739.6615558009,1.00003614833333,0,24.4695666666667,30,6.53745401610166,0.00146177188738844,75.6666666666667,82,2142.11333333333,0.00120961625174852,MIT-BIH,25.5090589822309,23.4231566479124,343968,256225,6754,5172,0.776508620689655,0.630818965517241,0.620474137931034,0.792311928078623,0.629652819835276,0.448875486727672,0.878879310344828,128,4.221,1
4,2,baseline,14-Aug-2026 11:43:26,14-Aug-2026 11:44:26,60.0000668,128,7845,1004160,5.975150055768e-05,16735.9813672741,1.00000111333333,0,24.8819333333333,30,6.04321492387057,0.00148673285344282,76.0666666666667,83,2163.70666666667,0.00123452176958886,MIT-BIH,25.5090589822309,23.4231566479124,343968,256225,6754,5172,0.776508620689655,0.630818965517241,0.620474137931034,0.792311928078623,0.629652819835276,0.448875486727672,0.878879310344828,128,4.221,1
4,3,pruned,14-Aug-2026 11:44:47,14-Aug-2026 11:45:47,60.0010882,128,8978,1149184,5.22119070575295e-05,19152.719300181,1.00001813666667,0,25.2057333333333,30,6.20120616706434,0.00131603940611687,76.9666666666667,84,2270.11,0.00109565294642704,MIT-BIH,25.5090589822309,23.4231566479124,343968,256225,6754,5172,0.776508620689655,0.630818965517241,0.620474137931034,0.792311928078623,0.629652819835276,0.448875486727672,0.878879310344828,128,4.221,1
