block,orderPosition,condition,startTime,endTime,elapsedSec,batchSize,numBatches,numInferences,secPerInference,throughputPerSec,overrunRatio,stalled,measuredWatts,wattsSamples,wattsSD,energyJPerInference,tempMeanC,tempMaxC,clockMeanMHz,energyJPerInferenceNetIdle,dataset,theoreticalMACReduction,theoreticalParamReduction,macsBaseline,macsPruned,paramsBaseline,paramsPruned,accBaseline,accBaselineFt,accPruned,balBaseline,balBaselineFt,balPruned,majorityClassRate,batchSizeOpt,idleWattsOpt,seedOpt
1,1,pruned,06-Sep-2026 11:54:54,06-Sep-2026 11:55:54,60.0018049,128,2165,277120,0.000216519215141455,4618.52773365489,1.00003008166667,0,12.5185333333333,30,0.617496823017561,0.00271050301205548,65.0666666666667,69,1944.94,0.00179657540494339,MNIST-fs500,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.9854,0.9892,0.9852,0.985449498540732,0.989186452717131,0.985335018916887,0.1135,128,4.221,1
1,2,baseline,06-Sep-2026 11:57:01,06-Sep-2026 11:58:01,60.0110282,128,1878,240384,0.000249646516407082,4005.66374565134,1.00018380333333,0,12.4846666666667,30,0.720069026065453,0.00311675354183695,63.3666666666667,66,1976.19,0.00206299559608266,MNIST-fs500,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.9854,0.9892,0.9852,0.985449498540732,0.989186452717131,0.985335018916887,0.1135,128,4.221,1
1,3,baseline_ft,06-Sep-2026 11:59:07,06-Sep-2026 12:00:07,60.0317969,128,1864,238592,0.000251608590816121,3974.4270923198,1.00052994833333,0,12.4424333333333,30,0.717606158592981,0.00313062311732353,63.0333333333333,66,1872.1,0.00206858325548869,MNIST-fs500,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.9854,0.9892,0.9852,0.985449498540732,0.989186452717131,0.985335018916887,0.1135,128,4.221,1
2,1,pruned,06-Sep-2026 12:01:12,06-Sep-2026 12:02:12,60.0058686,128,2161,276608,0.000216934682294077,4609.68246029189,1.00009781,0,12.435,30,0.615497107755327,0.00269758277432685,62.8,66,1868.46666666667,0.00178190148036355,MNIST-fs500,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.9854,0.9892,0.9852,0.985449498540732,0.989186452717131,0.985335018916887,0.1135,128,4.221,1
2,2,baseline_ft,06-Sep-2026 12:03:18,06-Sep-2026 12:04:18,60.0263064,128,1878,240384,0.000249710073881789,4004.64420379529,1.00043844,0,12.4770333333333,30,0.859466052501376,0.00311564091549221,62.7666666666667,66,2030.05666666667,0.00206161469363718,MNIST-fs500,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.9854,0.9892,0.9852,0.985449498540732,0.989186452717131,0.985335018916887,0.1135,128,4.221,1
2,3,baseline,06-Sep-2026 12:05:24,06-Sep-2026 12:06:24,60.0153884,128,1881,240768,0.000249266465643275,4011.77108769657,1.00025647333333,0,12.4810344827586,29,0.590574386433521,0.00311110335308908,62.3448275862069,65,2107.60689655172,0.00205894960160882,MNIST-fs500,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.9854,0.9892,0.9852,0.985449498540732,0.989186452717131,0.985335018916887,0.1135,128,4.221,1
3,1,baseline,06-Sep-2026 12:07:30,06-Sep-2026 12:08:30,60.014659,128,1873,239744,0.000250328095802189,3994.75734753404,1.00024431666667,0,12.4829333333333,30,0.743561788510769,0.003124828931359,62.0333333333333,66,2086.25,0.00206819403897797,MNIST-fs500,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.9854,0.9892,0.9852,0.985449498540732,0.989186452717131,0.985335018916887,0.1135,128,4.221,1
3,2,baseline_ft,06-Sep-2026 12:09:36,06-Sep-2026 12:10:36,60.0164916,128,1879,240512,0.000249536370742416,4007.43185061487,1.00027486,0,12.5061333333333,30,0.688173882063264,0.00312073512402076,61.8,65,2051.98,0.00206744210311702,MNIST-fs500,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.9854,0.9892,0.9852,0.985449498540732,0.989186452717131,0.985335018916887,0.1135,128,4.221,1
3,3,pruned,06-Sep-2026 12:11:42,06-Sep-2026 12:12:42,60.011958,128,2163,276864,0.000216756089632455,4613.48053332971,1.0001993,0,12.4086,30,0.906548231784566,0.00268963961381328,61.3333333333333,64,2112.82666666667,0.00177471215947469,MNIST-fs500,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.9854,0.9892,0.9852,0.985449498540732,0.989186452717131,0.985335018916887,0.1135,128,4.221,1
4,1,baseline_ft,06-Sep-2026 12:13:48,06-Sep-2026 12:14:48,60.034904,128,1880,240640,0.000249480152925532,4008.3348846531,1.00058173333333,0,12.5479333333333,30,0.645367520705535,0.00313046032689938,61.4333333333333,64,2068.61333333333,0.00207740460140071,MNIST-fs500,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.9854,0.9892,0.9852,0.985449498540732,0.989186452717131,0.985335018916887,0.1135,128,4.221,1
