block,orderPosition,condition,startTime,endTime,elapsedSec,batchSize,numBatches,numInferences,secPerInference,throughputPerSec,overrunRatio,stalled,measuredWatts,wattsSamples,wattsSD,energyJPerInference,tempMeanC,tempMaxC,clockMeanMHz,energyJPerInferenceNetIdle,dataset,theoreticalMACReduction,theoreticalParamReduction,macsBaseline,macsPruned,paramsBaseline,paramsPruned,accBaseline,accBaselineFt,accPruned,balBaseline,balBaselineFt,balPruned,majorityClassRate,batchSizeOpt,idleWattsOpt,seedOpt
1,1,pruned,14-Aug-2026 10:09:55,14-Aug-2026 10:10:55,60.0075584,128,2780,355840,0.000168636348920863,5929.91965492134,1.00012597333333,0,26.0753333333333,30,5.08467130008274,0.00439724901022782,82.2,90,2845.72666666667,0.00368543498143285,MNIST,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.9854,0.9892,0.9852,0.985449498540732,0.989186452717131,0.985335018916887,0.1135,128,4.221,1
1,2,baseline,14-Aug-2026 10:11:21,14-Aug-2026 10:12:21,60.0207717,128,2494,319232,0.000188016150323276,5318.69202874644,1.000346195,0,26.0945666666667,30,4.81869340341258,0.00490619996902074,81.8333333333333,89,2900.62,0.0041125837985062,MNIST,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.9854,0.9892,0.9852,0.985449498540732,0.989186452717131,0.985335018916887,0.1135,128,4.221,1
1,3,baseline_ft,14-Aug-2026 10:12:47,14-Aug-2026 10:13:47,60.021631,128,2484,317952,0.000188775761750201,5297.29023858082,1.00036051666667,0,25.9081666666667,30,5.34292635226681,0.00489083389805117,81.5333333333333,88,2595.00666666667,0.00409401140770357,MNIST,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.9854,0.9892,0.9852,0.985449498540732,0.989186452717131,0.985335018916887,0.1135,128,4.221,1
2,1,pruned,14-Aug-2026 10:14:13,14-Aug-2026 10:15:13,60.0054128,128,2801,358528,0.000167366043377365,5974.92764852707,1.00009021333333,0,26.4737,30,4.68731874794403,0.00443079842255935,81.9333333333333,89,2344.93,0.00372434635346349,MNIST,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.9854,0.9892,0.9852,0.985449498540732,0.989186452717131,0.985335018916887,0.1135,128,4.221,1
2,2,baseline_ft,14-Aug-2026 10:15:40,14-Aug-2026 10:16:40,60.0095716,128,2504,320512,0.000187230342701677,5341.01463240574,1.00015952666667,0,26.7343333333333,30,4.1040858391014,0.00500547839190087,83,88,2905.9,0.00421517911535709,MNIST,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.9854,0.9892,0.9852,0.985449498540732,0.989186452717131,0.985335018916887,0.1135,128,4.221,1
2,3,baseline,14-Aug-2026 10:17:06,14-Aug-2026 10:18:06,60.0018266,128,2470,316160,0.000189783105389676,5269.17292214567,1.00003044333333,0,26.3190333333333,30,4.8437134264396,0.0049949078768544,81.9,87,2681.43666666667,0.00419383338900458,MNIST,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.9854,0.9892,0.9852,0.985449498540732,0.989186452717131,0.985335018916887,0.1135,128,4.221,1
3,1,baseline,14-Aug-2026 10:18:32,14-Aug-2026 10:19:32,60.0009386,128,2475,316800,0.000189396902146465,5279.91740449207,1.00001564333333,0,26.3138,30,4.84165413027835,0.00498375220370164,82.6,88,2672.17666666667,0.00418430787974141,MNIST,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.9854,0.9892,0.9852,0.985449498540732,0.989186452717131,0.985335018916887,0.1135,128,4.221,1
3,2,baseline_ft,14-Aug-2026 10:19:59,14-Aug-2026 10:20:59,60.0203138,128,2470,316160,0.000189841579579959,5267.54993406916,1.00033856333333,0,26.2852,30,4.88103270870502,0.00499002388757515,81.8333333333333,87,2622.28,0.00418870258016814,MNIST,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.9854,0.9892,0.9852,0.985449498540732,0.989186452717131,0.985335018916887,0.1135,128,4.221,1
3,3,pruned,14-Aug-2026 10:21:24,14-Aug-2026 10:22:24,60.0004406,128,2834,362752,0.000165403472896083,6045.82227017846,1.00000734333333,0,26.1833448275862,29,4.92685813588468,0.00433081616651846,81.0689655172414,88,2733.65862068965,0.00363264810742409,MNIST,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.9854,0.9892,0.9852,0.985449498540732,0.989186452717131,0.985335018916887,0.1135,128,4.221,1
4,1,baseline_ft,14-Aug-2026 10:22:50,14-Aug-2026 10:23:50,60.0212148,128,2498,319744,0.00018771646942554,5327.18308127279,1.00035358,0,27.437275862069,29,3.12852767626918,0.00515042855548219,82.5862068965517,87,2727.85517241379,0.00435807733803698,MNIST,24.4395896656535,22.8116195472651,1031744,779590,20586,15890,0.9854,0.9892,0.9852,0.985449498540732,0.989186452717131,0.985335018916887,0.1135,128,4.221,1
